t_ms,raw,filtered
2712,1220103,1219806.875
2724,1219570,1219771.375
2736,1219305,1219701.500
2749,1220110,1219762.875
2761,1219992,1219797.250
2773,1219524,1219756.250
2786,1219532,1219722.625
2798,1220345,1219816.000
2810,1219887,1219826.625
2823,1219332,1219752.500
2835,1219449,1219707.000
2847,1219088,1219614.250
2860,1216301,1219117.250
2872,1213522,1218278.000
2884,1211821,1217309.500
2897,1211189,1216391.500
2909,1209928,1215422.000
2921,1209165,1214483.500
2934,1209479,1213732.875
2946,1210208,1213204.250
2958,1210569,1212809.000
2971,1211676,1212639.125
2983,1215376,1213049.750
2995,1218862,1213921.625
3008,1219780,1214800.500
3020,1219448,1215497.625
3032,1220176,1216199.375
3045,1220184,1216797.125
3057,1219668,1217227.750
3069,1219497,1217568.125
3082,1220330,1217982.500
3094,1220177,1218311.625
3106,1219694,1218519.000
3119,1219687,1218694.250
3131,1220450,1218957.625
3143,1219864,1219093.625
3156,1216968,1218774.875
3168,1214992,1218207.500
3180,1214610,1217667.875
3193,1212830,1216942.250
3205,1211174,1216077.000
3217,1210887,1215298.500
3230,1211564,1214738.375
3242,1211685,1214280.375
3254,1211910,1213924.875
3267,1213655,1213884.500
3279,1215932,1214191.625
3292,1218114,1214780.000
3304,1219340,1215464.000
3316,1220248,1216181.625
3329,1220374,1216810.500
3341,1219780,1217256.000
3353,1219454,1217585.750
3366,1220272,1217988.750
3378,1220307,1218336.500
3390,1219947,1218578.125
3403,1219829,1218765.750
3415,1220549,1219033.250
3427,1218461,1218947.500
3440,1214327,1218254.375
3452,1212626,1217410.125
3464,1211613,1216540.625
3477,1210100,1215574.625
3489,1209113,1214605.375
3501,1209564,1213849.250
3514,1211382,1213479.125
3526,1213304,1213452.875
3538,1216428,1213899.250
3551,1219463,1214733.875
3563,1220631,1215618.500
3575,1220219,1216308.625
3588,1219607,1216803.375
3600,1220077,1217294.375
3612,1220379,1217757.125
3625,1219930,1218083.125
3637,1219589,1218309.000
3649,1220299,1218607.500
3662,1220431,1218881.000
3674,1219982,1219046.125
3686,1219735,1219149.500
3699,1220487,1219350.125
3711,1218235,1219182.875
3723,1213692,1218359.250
3736,1211174,1217281.500
3748,1209871,1216170.000
3760,1208490,1215018.000
3773,1207276,1213856.750
3785,1207331,1212877.875
3797,1209083,1212308.750
3810,1210035,1211967.750
3822,1211891,1211956.250
3834,1215704,1212518.375
3847,1219346,1213542.500
3859,1220183,1214538.625
3871,1219815,1215330.125
3884,1220298,1216075.375
3896,1220683,1216766.625
3908,1220027,1217255.750
3921,1219582,1217604.750
3933,1220310,1218010.625
3945,1220502,1218384.375
3958,1220020,1218629.750
3970,1218959,1218679.125
3982,1215801,1218247.500
3995,1212823,1217433.875
4007,1209972,1216314.625
4019,1208768,1215182.625
4032,1209654,1214353.375
4044,1210250,1213737.875
4056,1211366,1213382.125
4069,1213560,1213408.875
